flow_key,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Times,Idle Mean,Idle Std,Idle Max,Idle Min,first_timestamp,last_timestamp,src_ip,dst_ip
"('20.212.88.117', 443, '192.168.1.7', 58519)",0.0,4,0,293,0,107,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187508.538117,1732187508.538117,20.212.88.117,192.168.1.7
"('20.212.88.117', 443, '192.168.1.7', 58706)",0.15520000457763672,13,0,7292,0,1304,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.9230769230769,0,0,560.9230769230769,13,0,0,0,0,0,0,0,0,0,0,0,0,0.1524038000497967,0,0.15520000457763672,0.0732278823852539,"[0.0732278823852539, 0.0732278823852539, 0.07552194595336914, 0.07552194595336914, 0.07552194595336914, 0.07552194595336914, 0.07552194595336914, 0.15418386459350586, 0.15418386459350586, 0.15469098091125488, 0.15469098091125488, 0.15520000457763672]",0.10808459917704265,0.039312920842982824,0.15520000457763672,0.0732278823852539,1732187508.54902,1732187508.54902,20.212.88.117,192.168.1.7
"('192.168.1.4', 5353, '224.0.0.251', 5353)",0.0,1,0,168,0,168,168,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187508.941608,1732187508.941608,192.168.1.4,224.0.0.251
"('13.107.137.11', 443, '192.168.1.7', 58527)",0.0,1,0,54,0,54,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187509.485672,1732187509.485672,13.107.137.11,192.168.1.7
"('192.168.1.7', 5353, '224.0.0.251', 5353)",3.0251810550689697,6,0,492,0,82,82,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.457941509783268,0,3.0251810550689697,0.0006110668182373047,"[0.0006110668182373047, 1.0092871189117432, 1.0102791786193848, 3.0238661766052246, 3.0251810550689697]",1.613844919204712,1.209325004645705,3.0251810550689697,0.0006110668182373047,1732187510.464388,1732187510.464388,192.168.1.7,224.0.0.251
"('192.168.1.7', 64975, '192.168.1.1', 53)",0.0,1,0,78,0,78,78,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187511.436985,1732187511.436985,192.168.1.7,192.168.1.1
"('192.168.1.7', 51076, '192.168.1.1', 53)",0.0,1,0,78,0,78,78,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187511.437067,1732187511.437067,192.168.1.7,192.168.1.1
"('192.168.1.1', 53, '192.168.1.7', 64975)",0.0,1,0,181,0,181,181,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187511.44224,1732187511.44224,192.168.1.1,192.168.1.7
"('192.168.1.1', 53, '192.168.1.7', 51076)",0.0,1,0,196,0,196,196,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187511.443792,1732187511.443792,192.168.1.1,192.168.1.7
"('192.168.1.7', 58707, '204.79.197.239', 443)",0.14802193641662598,14,0,5054,0,1304,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.0,0,0,361.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.09914323216071352,0,0.14802193641662598,0.005116939544677734,"[0.005116939544677734, 0.005372047424316406, 0.005372047424316406, 0.013164997100830078, 0.019503116607666016, 0.01976490020751953, 0.019882917404174805, 0.019908905029296875, 0.019908905029296875, 0.02555394172668457, 0.02592301368713379, 0.0762939453125, 0.14802193641662598]",0.03106058560884916,0.03795816204577476,0.14802193641662598,0.005116939544677734,1732187511.444021,1732187511.444021,192.168.1.7,204.79.197.239
"('204.79.197.239', 443, '192.168.1.7', 58707)",0.14284896850585938,16,0,7844,0,1304,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.25,0,0,490.25,16,0,0,0,0,0,0,0,0,0,0,0,0,0.11291497600905132,0,0.14284896850585938,0.005095005035400391,"[0.005095005035400391, 0.005569934844970703, 0.008016109466552734, 0.008016109466552734, 0.008016109466552734, 0.008016109466552734, 0.008016109466552734, 0.02041316032409668, 0.02041316032409668, 0.02041316032409668, 0.02041316032409668, 0.02041316032409668, 0.02620410919189453, 0.14284896850585938, 0.14284896850585938]",0.030980889002482095,0.04439432213818049,0.14284896850585938,0.005095005035400391,1732187511.449091,1732187511.449091,204.79.197.239,192.168.1.7
"('192.168.1.7', 58708, '34.211.66.171', 443)",1.4701769351959229,13,0,2346,0,793,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.46153846153845,0,0,180.46153846153845,13,0,0,0,0,0,0,0,0,0,0,0,0,1.287409272918012,0,1.4701769351959229,0.2870948314666748,"[0.2870948314666748, 0.28870296478271484, 0.5767929553985596, 0.5802249908447266, 0.8757510185241699, 0.8809700012207031, 0.8810868263244629, 0.8812038898468018, 0.8812689781188965, 1.1829948425292969, 1.183405876159668, 1.4701769351959229]",0.8308061758677164,0.33986773817982374,1.4701769351959229,0.2870948314666748,1732187511.648564,1732187511.648564,192.168.1.7,34.211.66.171
